site_ID,grassland_type,restoration_measure,gen_sp,species_richness,cover_%,shannon_index,depth,pH
BK_TG_01,B,TG,Equisetum_palustre,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Equisetum_palustre,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Galium_aparine,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Galium_aparine,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Juncus_conglomeratus,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Juncus_conglomeratus,25,2,2.732890898259143,1,7.89
BK_TG_01,B,TG,Lotus_pedunculatus,25,2,2.732890898259143,0,7.91
BK_TG_01,B,TG,Lotus_pedunculatus,25,2,2.732890898259143,1,7.89
BK_TG_02,B,TG,Cynosurus_cristatus,27,19,2.575432341818202,1,7.27
BK_TG_02,B,TG,Cynosurus_cristatus,27,19,2.575432341818202,0,6.9
BK_TG_02,B,TG,Holcus_lanatus,27,19,2.575432341818202,1,7.27
BK_TG_02,B,TG,Holcus_lanatus,27,19,2.575432341818202,0,6.9
BK_TG_02,B,TG,Salix_cinerea,27,37,2.575432341818202,1,7.27
BK_TG_02,B,TG,Salix_cinerea,27,37,2.575432341818202,0,6.9
BK_TG_02,B,TG,Trifolium_dubium,27,2,2.575432341818202,1,7.27
BK_TG_02,B,TG,Trifolium_dubium,27,2,2.575432341818202,0,6.9
BK_TG_02,B,TG,Anthoxanthum_odoratum,27,8,2.575432341818202,1,7.27
BK_TG_02,B,TG,Anthoxanthum_odoratum,27,8,2.575432341818202,0,6.9
BK_TG_02,B,TG,Prunella_vulgaris,27,2,2.575432341818202,1,7.27
BK_TG_02,B,TG,Prunella_vulgaris,27,2,2.575432341818202,0,6.9
BK_TG_02,B,TG,Trifolium_pratense,27,8,2.575432341818202,1,7.27
BK_TG_02,B,TG,Trifolium_pratense,27,8,2.575432341818202,0,6.9
BK_TG_02,B,TG,Cardamine_pratensis,27,2,2.575432341818202,1,7.27
BK_TG_02,B,TG,Cardamine_pratensis,27,2,2.575432341818202,0,6.9
BK_TG_02,B,TG,Lythrum_salicaria,27,2,2.575432341818202,1,7.27
BK_TG_02,B,TG,Lythrum_salicaria,27,2,2.575432341818202,0,6.9
BK_TG_02,B,TG,Silene_floscuculi,27,2,2.575432341818202,1,7.27
BK_TG_02,B,TG,Silene_floscuculi,27,2,2.575432341818202,0,6.9
BK_TG_02,B,TG,Carex_demissa,27,2,2.575432341818202,1,7.27
BK_TG_02,B,TG,Carex_demissa,27,2,2.575432341818202,0,6.9
BK_TG_02,B,TG,Cerastium_fontanum,27,2,2.575432341818202,1,7.27
BK_TG_02,B,TG,Cerastium_fontanum,27,2,2.575432341818202,0,6.9
BK_TG_02,B,TG,Juncus_acutiflorus,27,37,2.575432341818202,1,7.27
BK_TG_02,B,TG,Juncus_acutiflorus,27,37,2.575432341818202,0,6.9
BK_TG_02,B,TG,Myosotis_laxa,27,2,2.575432341818202,1,7.27
